lambda            n
2.80504909   1.33206312
2.80504909   1.33206312
2.80504909   1.33206312
2.80504909   1.33206312
2.80504909   1.33206312
2.80504909   1.33206312
2.80504909   1.33206312
2.80544256   1.33261320
2.80544256   1.33261320
2.80544256   1.33261320
2.80544256   1.33261320
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80583614   1.33321229
2.80622983   1.33386147
2.80622983   1.33386147
2.80622983   1.33386147
2.80622983   1.33386147
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80662363   1.33456187
2.80701754   1.33531454
2.80701754   1.33531454
2.80701754   1.33531454
2.80701754   1.33531454
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80741157   1.33612053
2.80780570   1.33698085
2.80780570   1.33698085
2.80780570   1.33698085
2.80780570   1.33698085
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80819994   1.33789648
2.80859430   1.33886835
2.80859430   1.33886835
2.80859430   1.33886835
2.80859430   1.33886835
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80898876   1.33989736
2.80938334   1.34098436
2.80938334   1.34098436
2.80938334   1.34098436
2.80938334   1.34098436
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.80977803   1.34210012
2.81017283   1.34328962
2.81017283   1.34328962
2.81017283   1.34328962
2.81017283   1.34328962
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81056773   1.34455403
2.81096275   1.34588120
2.81096275   1.34588120
2.81096275   1.34588120
2.81096275   1.34588120
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81135789   1.34727229
2.81175313   1.34872792
2.81175313   1.34872792
2.81175313   1.34872792
2.81175313   1.34872792
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81214848   1.35024848
2.81254395   1.35183397
2.81254395   1.35183397
2.81254395   1.35183397
2.81254395   1.35183397
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81293952   1.35348433
2.81333521   1.35519918
2.81333521   1.35519918
2.81333521   1.35519918
2.81333521   1.35519918
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81373101   1.35697822
2.81412692   1.35882090
2.81412692   1.35882090
2.81412692   1.35882090
2.81412692   1.35882090
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81452294   1.36072684
2.81491907   1.36269544
2.81491907   1.36269544
2.81491907   1.36269544
2.81491907   1.36269544
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81531532   1.36480089
2.81571167   1.36690017
2.81571167   1.36690017
2.81571167   1.36690017
2.81571167   1.36690017
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81610814   1.36905325
2.81650472   1.37126659
2.81650472   1.37126659
2.81650472   1.37126659
2.81650472   1.37126659
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81690141   1.37353940
2.81729821   1.37587110
2.81729821   1.37587110
2.81729821   1.37587110
2.81729821   1.37587110
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81769513   1.37819782
2.81809215   1.38063049
2.81809215   1.38063049
2.81809215   1.38063049
2.81809215   1.38063049
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81848929   1.38313632
2.81888654   1.38570014
2.81888654   1.38570014
2.81888654   1.38570014
2.81888654   1.38570014
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81928390   1.38832163
2.81968138   1.39099946
2.81968138   1.39099946
2.81968138   1.39099946
2.81968138   1.39099946
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82007896   1.39373221
2.82047666   1.39651767
2.82047666   1.39651767
2.82047666   1.39651767
2.82047666   1.39651767
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82087447   1.39935380
2.82127239   1.40223788
2.82127239   1.40223788
2.82127239   1.40223788
2.82127239   1.40223788
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82167043   1.40516752
2.82206858   1.40813972
2.82206858   1.40813972
2.82206858   1.40813972
2.82206858   1.40813972
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82246684   1.41115189
2.82286521   1.41420092
2.82286521   1.41420092
2.82286521   1.41420092
2.82286521   1.41420092
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82326369   1.41728413
2.82366229   1.42039833
2.82366229   1.42039833
2.82366229   1.42039833
2.82366229   1.42039833
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82406100   1.42354081
2.82445982   1.42670832
2.82445982   1.42670832
2.82445982   1.42670832
2.82445982   1.42670832
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82485876   1.42989862
2.82525780   1.43310985
2.82525780   1.43310985
2.82525780   1.43310985
2.82525780   1.43310985
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82565697   1.43634010
2.82605624   1.43958632
2.82605624   1.43958632
2.82605624   1.43958632
2.82605624   1.43958632
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82645562   1.44284558
2.82685512   1.44611406
2.82685512   1.44611406
2.82685512   1.44611406
2.82685512   1.44611406
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82725474   1.44938830
2.82765446   1.45266414
2.82765446   1.45266414
2.82765446   1.45266414
2.82765446   1.45266414
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82805430   1.45593796
2.82845425   1.45920552
2.82845425   1.45920552
2.82845425   1.45920552
2.82845425   1.45920552
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82885431   1.46246320
2.82925449   1.46570688
2.82925449   1.46570688
2.82925449   1.46570688
2.82925449   1.46570688
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.82965478   1.46893305
2.83005519   1.47213776
2.83005519   1.47213776
2.83005519   1.47213776
2.83005519   1.47213776
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83045570   1.47531771
2.83085633   1.47846915
2.83085633   1.47846915
2.83085633   1.47846915
2.83085633   1.47846915
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83125708   1.48158899
2.83165794   1.48467372
2.83165794   1.48467372
2.83165794   1.48467372
2.83165794   1.48467372
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83205891   1.48772047
2.83245999   1.49072597
2.83245999   1.49072597
2.83245999   1.49072597
2.83245999   1.49072597
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83286119   1.49368760
2.83300000   1.49467204
2.83326250   1.49660235
2.83326250   1.49660235
2.83326250   1.49660235
2.83326250   1.49660235
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83366393   1.49946792
2.83406547   1.50228171
2.83406547   1.50228171
2.83406547   1.50228171
2.83406547   1.50228171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83446712   1.50504171
2.83486889   1.50774559
2.83486889   1.50774559
2.83486889   1.50774559
2.83486889   1.50774559
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83527077   1.51039159
2.83567276   1.51297762
2.83567276   1.51297762
2.83567276   1.51297762
2.83567276   1.51297762
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83607487   1.51550214
2.83647710   1.51796335
2.83647710   1.51796335
2.83647710   1.51796335
2.83647710   1.51796335
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83687943   1.52035992
2.83728188   1.52269030
2.83728188   1.52269030
2.83728188   1.52269030
2.83728188   1.52269030
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83768445   1.52495338
2.83808713   1.52714787
2.83808713   1.52714787
2.83808713   1.52714787
2.83808713   1.52714787
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83848992   1.52927289
2.83889283   1.53132740
2.83889283   1.53132740
2.83889283   1.53132740
2.83889283   1.53132740
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83929585   1.53331071
2.83969899   1.53522204
2.83969899   1.53522204
2.83969899   1.53522204
2.83969899   1.53522204
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84010224   1.53706092
2.84050561   1.53882681
2.84050561   1.53882681
2.84050561   1.53882681
2.84050561   1.53882681
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84090909   1.54051943
2.84100000   1.54086875
2.84131269   1.54213851
2.84131269   1.54213851
2.84131269   1.54213851
2.84131269   1.54213851
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84171640   1.54368412
2.84212022   1.54515639
2.84212022   1.54515639
2.84212022   1.54515639
2.84212022   1.54515639
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84252416   1.54655562
2.84292822   1.54788217
2.84292822   1.54788217
2.84292822   1.54788217
2.84292822   1.54788217
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84333239   1.54913653
2.84373667   1.55031924
2.84373667   1.55031924
2.84373667   1.55031924
2.84373667   1.55031924
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84414107   1.55143094
2.84454558   1.55247236
2.84454558   1.55247236
2.84454558   1.55247236
2.84454558   1.55247236
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84495021   1.55344430
2.84535496   1.55434764
2.84535496   1.55434764
2.84535496   1.55434764
2.84535496   1.55434764
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84575982   1.55518330
2.84616479   1.55595233
2.84616479   1.55595233
2.84616479   1.55595233
2.84616479   1.55595233
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84656988   1.55665576
2.84697509   1.55729477
2.84697509   1.55729477
2.84697509   1.55729477
2.84697509   1.55729477
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84738041   1.55787052
2.84773831   1.55832426
2.84778585   1.55838432
2.84778585   1.55838432
2.84778585   1.55838432
2.84778585   1.55838432
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84819140   1.55883746
2.84859707   1.55923153
2.84859707   1.55923153
2.84859707   1.55923153
2.84859707   1.55923153
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84900285   1.55956805
2.84940875   1.55984876
2.84940875   1.55984876
2.84940875   1.55984876
2.84940875   1.55984876
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.84981476   1.56007525
2.85022089   1.56024934
2.85022089   1.56024934
2.85022089   1.56024934
2.85022089   1.56024934
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85062714   1.56037273
2.85103350   1.56044731
2.85103350   1.56044731
2.85103350   1.56044731
2.85103350   1.56044731
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85143998   1.56047484
2.85184657   1.56045729
2.85184657   1.56045729
2.85184657   1.56045729
2.85184657   1.56045729
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85225328   1.56039646
2.85266011   1.56029435
2.85266011   1.56029435
2.85266011   1.56029435
2.85266011   1.56029435
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85306705   1.56015279
2.85347410   1.55997378
2.85347410   1.55997378
2.85347410   1.55997378
2.85347410   1.55997378
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85388128   1.55975908
2.85428857   1.55951062
2.85428857   1.55951062
2.85428857   1.55951062
2.85428857   1.55951062
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85469597   1.55923000
2.85510350   1.55891893
2.85510350   1.55891893
2.85510350   1.55891893
2.85510350   1.55891893
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85551114   1.55857870
2.85591889   1.55821057
2.85591889   1.55821057
2.85591889   1.55821057
2.85591889   1.55821057
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85632676   1.55781526
2.85673475   1.55739331
2.85673475   1.55739331
2.85673475   1.55739331
2.85673475   1.55739331
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85714286   1.55694457
2.85755108   1.55646963
2.85755108   1.55646963
2.85755108   1.55646963
2.85755108   1.55646963
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85795942   1.55596941
2.85836787   1.55544510
2.85836787   1.55544510
2.85836787   1.55544510
2.85836787   1.55544510
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85877644   1.55489853
2.85918513   1.55433189
2.85918513   1.55433189
2.85918513   1.55433189
2.85918513   1.55433189
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.85959394   1.55374677
2.86000286   1.55314458
2.86000286   1.55314458
2.86000286   1.55314458
2.86000286   1.55314458
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86041190   1.55252632
2.86082106   1.55189292
2.86082106   1.55189292
2.86082106   1.55189292
2.86082106   1.55189292
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86123033   1.55124504
2.86163972   1.55058340
2.86163972   1.55058340
2.86163972   1.55058340
2.86163972   1.55058340
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86204923   1.54990850
2.86245885   1.54922090
2.86245885   1.54922090
2.86245885   1.54922090
2.86245885   1.54922090
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86286859   1.54852101
2.86327845   1.54780926
2.86327845   1.54780926
2.86327845   1.54780926
2.86327845   1.54780926
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86368843   1.54708582
2.86409852   1.54635082
2.86409852   1.54635082
2.86409852   1.54635082
2.86409852   1.54635082
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86450874   1.54560402
2.86491907   1.54484489
2.86491907   1.54484489
2.86491907   1.54484489
2.86491907   1.54484489
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86532951   1.54407253
2.86574008   1.54328697
2.86574008   1.54328697
2.86574008   1.54328697
2.86574008   1.54328697
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86615076   1.54248883
2.86656156   1.54167892
2.86656156   1.54167892
2.86656156   1.54167892
2.86656156   1.54167892
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86697248   1.54085812
2.86738351   1.54002747
2.86738351   1.54002747
2.86738351   1.54002747
2.86738351   1.54002747
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86779467   1.53918805
2.86820594   1.53834106
2.86820594   1.53834106
2.86820594   1.53834106
2.86820594   1.53834106
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86861733   1.53748775
2.86902883   1.53662990
2.86902883   1.53662990
2.86902883   1.53662990
2.86902883   1.53662990
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86944046   1.53576950
2.86985220   1.53490808
2.86985220   1.53490808
2.86985220   1.53490808
2.86985220   1.53490808
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87026406   1.53404681
2.87067604   1.53318638
2.87067604   1.53318638
2.87067604   1.53318638
2.87067604   1.53318638
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87108814   1.53232706
2.87150036   1.53146859
2.87150036   1.53146859
2.87150036   1.53146859
2.87150036   1.53146859
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87191269   1.53061019
2.87232515   1.52975083
2.87232515   1.52975083
2.87232515   1.52975083
2.87232515   1.52975083
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87273772   1.52889035
2.87315041   1.52802866
2.87315041   1.52802866
2.87315041   1.52802866
2.87315041   1.52802866
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87356322   1.52716576
2.87397615   1.52630155
2.87397615   1.52630155
2.87397615   1.52630155
2.87397615   1.52630155
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87438919   1.52543606
2.87480236   1.52456922
2.87480236   1.52456922
2.87480236   1.52456922
2.87480236   1.52456922
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87521564   1.52370112
2.87562904   1.52283171
2.87562904   1.52283171
2.87562904   1.52283171
2.87562904   1.52283171
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87604257   1.52196115
2.87645621   1.52108946
2.87645621   1.52108946
2.87645621   1.52108946
2.87645621   1.52108946
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87686997   1.52021683
2.87728384   1.51934332
2.87728384   1.51934332
2.87728384   1.51934332
2.87728384   1.51934332
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87769784   1.51846920
2.87811196   1.51759453
2.87811196   1.51759453
2.87811196   1.51759453
2.87811196   1.51759453
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87852619   1.51671962
2.87894055   1.51584457
2.87894055   1.51584457
2.87894055   1.51584457
2.87894055   1.51584457
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87935502   1.51496968
2.87976962   1.51409506
2.87976962   1.51409506
2.87976962   1.51409506
2.87976962   1.51409506
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88018433   1.51322105
2.88059916   1.51234774
2.88059916   1.51234774
2.88059916   1.51234774
2.88059916   1.51234774
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88101412   1.51147544
2.88142919   1.51060426
2.88142919   1.51060426
2.88142919   1.51060426
2.88142919   1.51060426
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88184438   1.50973450
2.88200000   1.50941079
2.88225969   1.50886623
2.88225969   1.50886623
2.88225969   1.50886623
2.88225969   1.50886623
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88267512   1.50799987
2.88309067   1.50713562
2.88309067   1.50713562
2.88309067   1.50713562
