lambda            n
2.06185567   1.48171807
2.06228088   1.48171708
2.06270627   1.48171565
2.06313183   1.48171378
2.06355757   1.48171147
2.06398349   1.48170874
2.06440958   1.48170557
2.06483585   1.48170199
2.06526229   1.48169799
2.06568891   1.48169357
2.06611570   1.48168874
2.06654267   1.48168350
2.06696982   1.48167786
2.06739715   1.48167181
2.06782465   1.48166537
2.06825233   1.48165853
2.06868018   1.48165129
2.06910821   1.48164366
2.06953642   1.48163337
2.06996481   1.48162380
2.07039337   1.48161508
2.07082212   1.48160598
2.07125104   1.48159650
2.07168013   1.48158664
2.07210941   1.48157642
2.07253886   1.48156583
2.07296849   1.48155489
2.07339830   1.48154359
2.07382829   1.48153194
2.07425845   1.48151995
2.07468880   1.48150761
2.07511932   1.48149495
2.07555002   1.48148195
2.07598090   1.48146864
2.07641196   1.48145500
2.07684320   1.48144105
2.07727462   1.48142680
2.07770621   1.48141224
2.07813799   1.48139739
2.07856994   1.48138225
2.07900208   1.48136682
2.07943439   1.48135111
2.07986689   1.48133513
2.08029956   1.48131887
2.08073242   1.48130235
2.08116545   1.48128556
2.08159867   1.48126852
2.08203206   1.48125122
2.08246564   1.48123366
2.08289940   1.48121586
2.08300000   1.48121170
2.08333333   1.48119782
2.08376745   1.48117952
2.08420175   1.48116099
2.08463623   1.48114221
2.08507089   1.48112319
2.08550574   1.48110393
2.08594076   1.48108443
2.08637596   1.48106467
2.08681135   1.48104401
2.08724692   1.48102350
2.08768267   1.48100308
2.08811861   1.48098241
2.08855472   1.48096151
2.08899102   1.48094037
2.08942750   1.48091901
2.08986416   1.48089743
2.09030100   1.48087564
2.09073803   1.48085363
2.09117524   1.48083141
2.09161263   1.48080900
2.09205021   1.48078639
2.09248797   1.48076359
2.09292591   1.48074061
2.09336404   1.48071745
2.09380235   1.48069411
2.09424084   1.48067061
2.09467951   1.48064694
2.09511837   1.48062311
2.09555742   1.48059913
2.09599665   1.48057501
2.09643606   1.48055073
2.09687566   1.48052632
2.09731544   1.48050177
2.09775540   1.48047709
2.09819555   1.48045228
2.09863589   1.48042734
2.09907641   1.48040228
2.09951711   1.48037711
2.09995800   1.48035181
2.10039908   1.48032640
2.10084034   1.48030087
2.10128178   1.48027522
2.10172341   1.48024946
2.10216523   1.48022359
2.10260723   1.48019759
2.10304942   1.48017147
2.10349180   1.48014523
2.10393436   1.48011886
2.10437710   1.48009236
2.10482004   1.48006665
2.10526316   1.48003993
2.10570646   1.48001307
2.10614996   1.47998608
2.10659364   1.47995898
2.10703751   1.47993176
