lambda            n
0.69500000   1.56820750
0.70000000   1.56800000
0.70000000   1.56800000
0.70656000   1.56780085
0.70656000   1.56780085
0.71850000   1.56798850
0.71850000   1.56798850
0.74350000   1.56679350
0.74350000   1.56679350
0.76800000   1.56617400
0.76800000   1.56617400
0.76824000   1.56616500
0.76824000   1.56616500
0.77110000   1.56610800
0.77110000   1.56610800
0.77613242   1.46211193
0.79500000   1.56551425
0.79500000   1.56551425
0.80000000   1.56550000
0.80000000   1.56550000
0.80070000   1.56542150
0.80070000   1.56542150
0.81181520   1.55988318
0.83250000   1.56474000
0.83250000   1.56474000
0.86710000   1.56406200
0.86710000   1.56406200
0.90000000   1.56350000
0.90000000   1.56350000
0.90470000   1.56338400
0.90470000   1.56338400
0.94600000   1.56270100
0.94600000   1.56270100
0.94940024   1.55945045
0.99140000   1.56200950
0.99140000   1.56200950
1.00000000   1.55750000
1.00000000   1.55750000
1.04170000   1.56130550
1.04170000   1.56130550
1.06733029   1.54930145
1.09073842   1.46214511
1.09730000   1.56057600
1.09730000   1.56057600
1.10000000   1.56050000
1.10000000   1.56050000
1.15920000   1.55980350
1.15920000   1.55980350
1.20000000   1.56400000
1.20000000   1.56400000
1.22880000   1.55898300
1.22880000   1.55898300
1.24422535   1.57643730
1.27320000   1.62641699
1.30000000   1.55850000
1.30000000   1.55850000
1.30700000   1.55810300
1.30700000   1.55810300
1.31950000   1.63767000
1.36850000   1.63680900
1.39580000   1.55712850
1.39580000   1.55712850
1.40000000   1.55700000
1.40000000   1.55700000
1.40146541   1.55802863
1.42190000   1.63587688
1.47920000   1.63490100
1.49720000   1.55600600
1.49720000   1.55600600
1.50000000   1.55600000
1.50000000   1.55600000
1.54031778   1.53838323
1.54140000   1.54090119
1.55000000   1.56058772
1.55000000   1.56058772
1.59801548   1.54612040
1.60000000   1.56101611
1.60000000   1.56101611
1.60870000   1.58190002
1.61460000   1.49527770
1.68150000   1.63126118
1.70000000   1.56294394
1.70000000   1.56294394
1.74870000   1.49751561
1.76140000   1.52483433
1.76503635   1.52734521
1.81434736   1.57367507
1.84870000   1.61390986
1.90000000   1.58811257
1.90850000   1.56225151
1.91262240   1.56661318
1.94570000   1.62534600
2.00000000   1.57450300
2.00000000   1.57450300
2.00040008   1.54411885
2.00080032   1.52828642
2.00120072   1.52828019
2.00160128   1.52827395
2.00200200   1.52826771
2.00240288   1.52826147
2.00280393   1.52825522
2.00320513   1.52824897
2.00360649   1.52824272
2.00400802   1.52823646
2.00440970   1.52823020
2.00481155   1.52822393
2.00521356   1.52821766
2.00561572   1.52821138
2.00601805   1.52820510
2.00642055   1.52819882
2.00682320   1.52819253
2.00722601   1.52818624
2.00762899   1.52817994
2.00803213   1.52817364
2.00843543   1.52816733
2.00883889   1.52816103
2.00924252   1.52815471
2.00964630   1.52814839
2.01005025   1.52814207
2.01045436   1.52813575
2.01085864   1.52812942
2.01126307   1.52812308
2.01166767   1.52811674
2.01207243   1.52811040
2.01247736   1.52810405
2.01288245   1.52809770
2.01328770   1.52809135
2.01369311   1.52808499
2.01409869   1.52807862
2.01450443   1.52807225
2.01491034   1.52806588
2.01531640   1.52805950
2.01572264   1.52805312
2.01612903   1.52804674
2.01653559   1.52804035
2.01694232   1.52803395
2.01734920   1.52802755
2.01775626   1.52802115
2.01816347   1.52801474
2.01857085   1.52800833
2.01897840   1.52800192
2.01938611   1.52799550
2.01979398   1.52798907
2.02020202   1.52798264
2.02061022   1.52797621
2.02101859   1.52796977
2.02142713   1.52796333
2.02183583   1.52795689
2.02224469   1.52795044
2.02265372   1.52794398
2.02306292   1.52793752
2.02347228   1.52793106
2.02388181   1.52792459
2.02429150   1.52791812
2.02470136   1.52791165
2.02511138   1.52790516
2.02552157   1.52789868
2.02593193   1.52789219
2.02634245   1.52788570
2.02675314   1.52787920
2.02716400   1.52787270
2.02757502   1.52786619
2.02798621   1.52785968
2.02839757   1.52785316
2.02880909   1.52784664
2.02922078   1.52784012
2.02963264   1.52783359
2.03004466   1.52782706
2.03045685   1.52782052
2.03086921   1.52781398
2.03128174   1.52780743
2.03169443   1.52780088
2.03210730   1.52779432
2.03252033   1.52778776
2.03293352   1.52778120
2.03334689   1.52777463
2.03376042   1.52776806
2.03417413   1.52488378
2.03458800   1.50915764
2.03484086   1.50020250
2.03500204   1.50637039
2.03541624   1.52140430
2.03583062   1.52773513
2.03624516   1.52772853
2.03665988   1.52772192
2.03707476   1.52771531
2.03748981   1.52770870
2.03790503   1.52770208
2.03832042   1.52769546
2.03873598   1.52768883
2.03915171   1.52768220
2.03956761   1.52767557
2.03998368   1.52766893
2.04039992   1.52766228
2.04081633   1.52765563
2.04123290   1.52764898
2.04164965   1.52764232
2.04206657   1.52763566
2.04248366   1.52762899
2.04290092   1.52762232
2.04331835   1.52761564
2.04373595   1.52760896
2.04415372   1.52760228
2.04457166   1.52759559
2.04498978   1.52758889
2.04540806   1.52758219
2.04582651   1.52757549
2.04624514   1.52756878
2.04666394   1.52756207
2.04708291   1.52755535
2.04750205   1.52754863
2.04792136   1.52754190
2.04834084   1.52753517
2.04876050   1.52752843
2.04918033   1.52752169
2.04960033   1.52751495
2.05002050   1.52750820
2.05044084   1.52750144
2.05086136   1.52749469
2.05128205   1.52748792
2.05170291   1.52748115
2.05212395   1.52747438
2.05254516   1.53667679
2.05296654   1.55463421
2.05310000   1.56030293
2.05338809   1.54904247
2.05380982   1.52976534
2.05423172   1.52744045
2.05465379   1.52743365
2.05507604   1.52742684
2.05549846   1.52742003
2.05592105   1.52741322
2.05634382   1.52740640
2.05676676   1.52739957
2.05718988   1.52739274
2.05761317   1.52738591
2.05803663   1.52737907
2.05846027   1.52737223
2.05888408   1.52736538
2.05930807   1.52735853
2.05973223   1.52735167
2.06015657   1.52734481
2.06058108   1.52733795
2.06100577   1.52733108
2.06143063   1.52732420
2.06185567   1.52731732
2.06228088   1.52731043
2.06270627   1.52730354
2.06313183   1.52729665
2.06355757   1.52728975
2.06398349   1.52728285
2.06440958   1.52727594
2.06483585   1.52726902
2.06526229   1.52726210
2.06568891   1.52725518
2.06611570   1.52724825
2.06654267   1.52724132
2.06696982   1.52723438
2.06739715   1.52722744
2.06782465   1.52722049
2.06825233   1.52721354
2.06868018   1.52720658
2.06910821   1.52765117
2.06953642   1.53481566
2.06986245   1.53916689
2.06996481   1.53775730
2.07039337   1.53124895
2.07082212   1.52717173
2.07125104   1.52716474
2.07168013   1.52715775
2.07210941   1.52715076
2.07253886   1.52714376
2.07296849   1.52713675
2.07339830   1.52712974
2.07382829   1.52712273
2.07425845   1.52711571
2.07468880   1.52710868
2.07511932   1.52710165
2.07555002   1.52709462
2.07598090   1.52708758
2.07641196   1.52708054
2.07684320   1.52707349
2.07727462   1.52706643
2.07770621   1.52705937
2.07813799   1.52705231
2.07856994   1.52704524
2.07900208   1.52703817
2.07943439   1.52703109
2.07986689   1.52702401
2.08029956   1.52701692
2.08073242   1.52700983
2.08116545   1.52700273
2.08159867   1.52699562
2.08203206   1.52698852
2.08246564   1.52698140
2.08289940   1.52697429
2.08333333   1.52696716
2.08376745   1.52696003
2.08420175   1.52695290
2.08463623   1.52694576
2.08507089   1.52693862
2.08550574   1.52693147
2.08594076   1.52692432
2.08637596   1.52691716
2.08681135   1.52691000
2.08724692   1.52690283
2.08768267   1.52689566
2.08811861   1.52688848
2.08855472   1.52688130
2.08899102   1.52687411
2.08942750   1.52686692
2.08986416   1.52685972
2.09030100   1.52685252
2.09073803   1.52684531
2.09117524   1.52683810
2.09161263   1.52683088
2.09205021   1.52682366
2.09248797   1.52681643
2.09292591   1.52680919
2.09336404   1.52680196
2.09380235   1.52679471
2.09424084   1.52678746
2.09467951   1.52678021
2.09511837   1.52677295
2.09555742   1.52676569
2.09599665   1.52675842
2.09643606   1.52675115
2.09687566   1.52674387
2.09731544   1.52673658
2.09775540   1.52672929
2.09819555   1.52672200
2.09863589   1.52671470
2.09907641   1.52509611
2.09951711   1.51467823
2.09980000   1.50866631
2.09995800   1.51232743
2.10039908   1.52216283
2.10084034   1.52667812
2.10128178   1.52667079
2.10172341   1.52666346
2.10216523   1.52665612
2.10260723   1.52664877
2.10304942   1.52664142
2.10349180   1.52663406
2.10393436   1.52662670
2.10437710   1.52661934
2.10482004   1.52661196
2.10526316   1.52660459
2.10570646   1.52659721
2.10614996   1.52658982
2.10659364   1.52658243
2.10703751   1.52657503
2.10748156   1.52656762
2.10792580   1.52656022
2.10837023   1.52655280
2.10881485   1.52654538
2.10925965   1.52653796
2.10970464   1.52653053
2.11014982   1.52652309
2.11059519   1.52651565
2.11104074   1.52650821
2.11148649   1.52650076
2.11193242   1.52649330
2.11237854   1.52648584
2.11282485   1.52647838
2.11327134   1.52647090
2.11371803   1.52646343
2.11416490   1.52645595
2.11461197   1.52644846
2.11505922   1.52644096
2.11550666   1.52643347
2.11595430   1.52642596
2.11640212   1.52641845
2.11685013   1.52641094
2.11729833   1.52640342
2.11774672   1.52639590
2.11819530   1.52638837
2.11864407   1.52638083
2.11909303   1.52637329
2.11954218   1.52636574
2.11999152   1.52635819
2.12044105   1.52635063
2.12089077   1.52634307
2.12134069   1.52633550
2.12179079   1.52632793
2.12224109   1.52632035
2.12269157   1.52631277
2.12314225   1.52630518
2.12359312   1.52629758
2.12404418   1.52628998
2.12449543   1.52628238
2.12494688   1.52627477
2.12539851   1.52626715
2.12585034   1.52625953
2.12630236   1.52625190
2.12675457   1.52624427
2.12720698   1.52623663
2.12765957   1.52622898
2.12811236   1.52622134
2.12856535   1.52621368
2.12901852   1.52620602
2.12947189   1.52619835
2.12992545   1.52619068
2.13037921   1.52618301
2.13083316   1.52617532
2.13128730   1.52616764
2.13174163   1.52615994
2.13219616   1.52615224
2.13265089   1.52614454
2.13310580   1.52613683
2.13356091   1.52612911
2.13401622   1.52612139
2.13447172   1.52611367
2.13492741   1.52610593
2.13538330   1.52609820
2.13583938   1.52609045
2.13629566   1.52608271
2.13675214   1.52607495
2.13720881   1.52606719
2.13766567   1.52605943
2.13812273   1.52605165
2.13857998   1.52604388
2.13903743   1.52603610
2.13949508   1.52602831
2.13995292   1.52602051
2.14041096   1.52601272
2.14086919   1.52600491
2.14132762   1.52599710
2.14178625   1.52598928
2.14224507   1.52598146
2.14270409   1.52597364
2.14316331   1.52596580
2.14362272   1.52595796
2.14408233   1.52595012
2.14454214   1.52594227
2.14500215   1.52593441
2.14546235   1.52592655
2.14592275   1.52591869
2.14638334   1.52591081
2.14684414   1.52590294
2.14730513   1.52589505
2.14776632   1.52588716
2.14822771   1.52587927
2.14868930   1.52587137
2.14915109   1.52586346
2.14961307   1.52585555
2.15007525   1.52584763
2.15053763   1.52583970
2.15100022   1.52583177
2.15146299   1.52582384
2.15192597   1.52581590
2.15238915   1.52580795
2.15285253   1.52580000
2.15331611   1.52579204
2.15377988   1.52578407
2.15424386   1.52577610
2.15470804   1.52576813
2.15517241   1.52576015
2.15563699   1.52575216
2.15610177   1.52574416
2.15656675   1.52573617
2.15703192   1.52572816
2.15749730   1.52572015
2.15796288   1.52571213
2.15842866   1.52570411
2.15889465   1.52569608
2.15936083   1.52568805
2.15982721   1.52568001
2.16029380   1.52567196
2.16076059   1.52566391
2.16122758   1.52565585
2.16169477   1.52564779
2.16216216   1.52563972
2.16262976   1.52563164
2.16309756   1.52562356
2.16356556   1.52561547
2.16403376   1.52560738
2.16450216   1.52559928
2.16497077   1.52559118
2.16543958   1.52558307
2.16590860   1.52557495
2.16637782   1.52556683
2.16684724   1.52555870
2.16731686   1.52555056
2.16778669   1.52554242
2.16825672   1.52553428
2.16872696   1.52552612
2.16919740   1.52551797
2.16966804   1.52550980
2.17013889   1.52550163
2.17060994   1.52549346
2.17108120   1.52698336
2.17155266   1.54590602
2.17190000   1.55722608
2.17202433   1.55294530
2.17249620   1.53564078
2.17296827   1.52545248
2.17344056   1.52544427
2.17391304   1.52543605
2.17438574   1.52542783
2.17485863   1.52541960
2.17533174   1.52541136
2.17580505   1.52540312
2.17627856   1.52539487
2.17675229   1.52538661
2.17722621   1.52537835
2.17770035   1.52537009
2.17817469   1.52536181
2.17864924   1.52535353
2.17912399   1.52534525
2.17959895   1.52533696
2.18007412   1.52532866
2.18054950   1.52532036
2.18102508   1.52531205
2.18150087   1.52530373
2.18197687   1.52529541
2.18245308   1.52528708
2.18292949   1.52527874
2.18340611   1.52527040
2.18388294   1.52526206
2.18435998   1.52525370
2.18483723   1.52524535
2.18531469   1.52523698
2.18579235   1.52522861
2.18627022   1.52522023
2.18674831   1.52521185
2.18722660   1.53033574
2.18770510   1.53543318
2.18772909   1.53559061
2.18818381   1.53102585
2.18866273   1.52518401
2.18914186   1.52516983
2.18962120   1.52516141
2.19010074   1.52515299
2.19058050   1.52514455
2.19106047   1.52513611
2.19154065   1.52512767
2.19202104   1.52511921
2.19250164   1.52511076
2.19298246   1.52510229
2.19346348   1.52509382
2.19394471   1.52508534
2.19442616   1.52507686
2.19490781   1.52506837
2.19538968   1.52505987
2.19587176   1.52505137
2.19635405   1.52504286
2.19683656   1.52503434
2.19731927   1.52502582
2.19780220   1.52501729
2.19828534   1.52500876
2.19876869   1.52500022
2.19925225   1.52499167
2.19973603   1.52498312
2.20022002   1.52497456
2.20070423   1.52496599
2.20118864   1.52495742
2.20167327   1.52494884
2.20215811   1.52494025
2.20264317   1.52493166
2.20312844   1.52492306
2.20361393   1.52491446
2.20409963   1.52490585
2.20458554   1.52489723
2.20507166   1.52488860
2.20555801   1.52487997
2.20604456   1.52487134
2.20653133   1.52486269
2.20701832   1.52485404
2.20750552   1.52484538
2.20799293   1.52483672
2.20848057   1.52482805
2.20896841   1.52481938
2.20945647   1.52481069
2.20994475   1.52480200
2.21043324   1.52479331
2.21092195   1.52478461
2.21141088   1.52477590
2.21190002   1.52476718
2.21238938   1.52475846
2.21287896   1.52474973
2.21336875   1.52474100
2.21385876   1.52473226
2.21434898   1.52472351
2.21483942   1.52471475
2.21533008   1.52470599
2.21582096   1.52469722
2.21631206   1.52468845
2.21680337   1.52467967
2.21729490   1.52467088
2.21778665   1.52466209
2.21827862   1.52465329
2.21877080   1.52464448
2.21926320   1.52463566
2.21975583   1.52462684
2.22024867   1.52461802
2.22074173   1.52460918
2.22123501   1.52460034
2.22172850   1.52459149
2.22222222   1.52458264
2.22271616   1.52457378
2.22321032   1.52456491
2.22370469   1.52455604
2.22419929   1.52454716
2.22469410   1.52453827
2.22518914   1.52452937
2.22568440   1.52452047
2.22617988   1.52451157
2.22667557   1.52450265
2.22717149   1.52449373
2.22766763   1.52448480
2.22816399   1.52447587
2.22866057   1.52446692
2.22915738   1.52445798
2.22965440   1.52444902
2.23015165   1.52444006
2.23064912   1.52443109
2.23114681   1.52442211
2.23164472   1.52441313
2.23214286   1.52440414
2.23264121   1.52439515
2.23313979   1.52438614
2.23363860   1.52437713
2.23413762   1.52436812
2.23463687   1.52435909
2.23513634   1.52435006
2.23563604   1.52434103
2.23613596   1.52433198
2.23663610   1.52432293
2.23713647   1.52431387
2.23763706   1.52430481
2.23813787   1.52429574
2.23863891   1.52428666
2.23914017   1.52427757
2.23964166   1.52426848
2.24014337   1.52425938
2.24064531   1.52425027
2.24114747   1.52424116
2.24164985   1.52423204
2.24215247   1.52422291
2.24265530   1.52421378
2.24315837   1.52420464
2.24366166   1.52419549
2.24416517   1.52418633
2.24466891   1.52417717
2.24517288   1.52416800
2.24567707   1.52415882
2.24618149   1.52414964
2.24668614   1.52414045
2.24719101   1.52413125
2.24769611   1.52412205
2.24820144   1.52411284
2.24870699   1.52410362
2.24921278   1.52409439
2.24971879   1.52408516
2.25022502   1.52407592
2.25073149   1.52406667
2.25123818   1.52405742
2.25174510   1.52404816
2.25225225   1.52403889
2.25275963   1.52402961
2.25326724   1.52402033
2.25377507   1.52401104
2.25428314   1.52400174
2.25479143   1.52399244
2.25529995   1.52398313
2.25580871   1.52397381
2.25631769   1.52396449
2.25682690   1.52395515
2.25733634   1.52394581
2.25784601   1.52393647
2.25835592   1.52392711
2.25886605   1.52385535
2.25937641   1.50847054
2.25984388   1.49717452
2.25988701   1.49796035
2.26039783   1.51145636
2.26090889   1.52388023
2.26142017   1.52387083
2.26193169   1.52386143
2.26244344   1.52385202
2.26295542   1.52384260
2.26346763   1.52383317
2.26398008   1.52382374
2.26449275   1.52381430
2.26500566   1.52380485
2.26551880   1.52379539
2.26603218   1.52378593
2.26654578   1.52377646
2.26705962   1.52376698
2.26757370   1.52375749
2.26808800   1.52374800
2.26860254   1.52373850
2.26911731   1.52372899
2.26963232   1.52371948
2.27014756   1.52370996
2.27066303   1.52370043
2.27117874   1.52369089
2.27169468   1.52368134
2.27221086   1.52367179
2.27272727   1.52366223
2.27324392   1.52365267
2.27376080   1.52364309
2.27427792   1.52363351
2.27479527   1.52362392
2.27531286   1.52361433
2.27583068   1.52360472
2.27634874   1.52359511
2.27686703   1.52358549
2.27738556   1.52357586
2.27790433   1.52356623
2.27842333   1.52355659
2.27894257   1.52354694
2.27946205   1.52353728
2.27998176   1.52352762
2.28050171   1.52351795
2.28102190   1.52350827
2.28154232   1.52349858
2.28206298   1.52348889
2.28258388   1.52347919
2.28310502   1.52346948
2.28362640   1.52345976
2.28414801   1.52345003
2.28466987   1.52344030
2.28519196   1.52343056
2.28571429   1.52342081
2.28623685   1.52341106
2.28675966   1.52340130
2.28728271   1.52339153
2.28780599   1.52338175
2.28832952   1.52337196
2.28885328   1.52336217
2.28937729   1.52335237
2.28990153   1.52334256
2.29042602   1.52333274
2.29095074   1.52332292
2.29147571   1.52331309
2.29200092   1.52330325
2.29252636   1.52329340
2.29305205   1.52328354
2.29357798   1.52327368
2.29410415   1.52326381
2.29463056   1.52325393
2.29515722   1.52324404
2.29568411   1.52323415
2.29621125   1.52322425
2.29673863   1.52321434
2.29726625   1.52320442
2.29779412   1.52319450
2.29832222   1.52318456
2.29885057   1.52317462
2.29937917   1.52316467
2.29990800   1.52315472
2.30043708   1.52314475
2.30096641   1.52313478
2.30149597   1.52312480
2.30202578   1.52311481
2.30255584   1.52310481
2.30308614   1.52309481
2.30361668   1.52308480
2.30414747   1.52307478
2.30467850   1.52306475
2.30520977   1.52305471
2.30574130   1.52304467
2.30627306   1.52303462
2.30680507   1.52302456
2.30733733   1.52301449
2.30786984   1.52300442
2.30840259   1.52299433
2.30893558   1.52298424
2.30946882   1.52297414
2.31000231   1.52296403
2.31053604   1.52295392
2.31107003   1.52294380
2.31160425   1.52293366
2.31213873   1.52292352
2.31267345   1.52291338
2.31320842   1.52290322
2.31374364   1.52289306
2.31427910   1.52288288
2.31481481   1.52287270
2.31535078   1.52286252
2.31588698   1.52285232
2.31642344   1.52284212
2.31696015   1.52283190
2.31749710   1.52282168
2.31803431   1.52281145
2.31857176   1.52280122
2.31910946   1.52279097
2.31964741   1.52278072
2.32018561   1.52277046
2.32072407   1.52276019
2.32126277   1.52274991
2.32180172   1.52273962
2.32234092   1.52272933
2.32288037   1.52271902
2.32342007   1.52108304
2.32396003   1.51126159
2.32430000   1.50562009
2.32450023   1.50641618
2.32504069   1.53334401
2.32525074   1.53410102
2.32558140   1.53038454
2.32612235   1.52385361
2.32666356   1.52264667
2.32720503   1.52263631
