lambda            k
9.61942257   0.85061033
9.62889984   0.82694775
9.65744401   0.62387924
9.65744401   0.62387924
9.67656766   0.56524556
9.69576720   0.51711938
9.71504307   0.46346642
9.72470978   0.43930334
9.76356976   0.32925343
9.78311645   0.29004633
9.80000000   0.26559322
9.80000000   0.26559322
9.80390000   0.25938159
9.82244556   0.24698930
9.85221675   0.24322059
9.89203779   0.19253208
9.92216582   0.14711320
9.95247794   0.11860184
10.00000000   0.11674649
10.00000000   0.11674649
10.00000000   0.11674649
10.00000000   0.11674649
10.00341180   0.11539546
10.06522485   0.06607194
10.11732229   0.02906247
10.14884043   0.07147930
10.20400000   0.08569254
10.23385689   0.07584269
10.29855989   0.04905474
10.37508846   0.05803342
10.41666667   0.06792945
10.41700000   0.06791585
10.44159544   0.06070975
10.52027269   0.00193391
10.59100000   0.03009446
10.59100000   0.03009446
10.60014461   0.03485262
10.63800000   0.04306658
10.63829787   0.04305913
10.64633261   0.04285576
10.72813758   0.00586954
10.81120944   0.03621889
10.86956522   0.04472275
10.87000000   0.04472406
10.88344469   0.04499852
10.94438223   0.01249097
11.00000000   0.01254253
11.00000000   0.01254253
11.00600601   0.01216654
11.09345441   0.05278081
11.09877913   0.05395406
11.11100000   0.05613496
11.16952381   0.03893052
11.24664365   0.00924876
11.29943503   0.04457813
11.31172840   0.05125327
11.36400000   0.07115159
11.37757082   0.07464541
11.44418423   0.02357625
11.49425287   0.01763067
11.50000000   0.01814483
11.50000000   0.01814483
11.53876427   0.02472740
11.60092807   0.07495597
11.60728424   0.07791004
11.62800000   0.09026116
11.64878824   0.08993980
11.70459082   0.08261313
11.76093061   0.07582131
11.83212268   0.13950306
11.90418189   0.17899238
11.90476190   0.17912216
11.90500000   0.17917458
11.94784026   0.18835157
11.99182004   0.18394517
12.05096589   0.19361880
12.09570957   0.20947818
12.17102532   0.26346958
12.19500000   0.27190411
12.19512195   0.27192437
12.26265161   0.28038885
12.34006734   0.26335423
12.41846675   0.29253851
12.48190719   0.61525427
12.50000000   0.60269025
12.50000000   0.60269025
12.50000000   0.60269025
12.50000000   0.60269025
12.51387111   0.59433920
12.56212511   0.34758236
12.61075269   0.23810164
12.65975820   0.24942519
12.70914608   0.23045094
12.75892080   0.23290995
12.80908694   0.22599502
12.82100000   0.22359631
12.85964912   0.20237683
12.90322581   0.14669347
12.91061207   0.14200350
12.94481236   0.13018999
12.99645390   0.14348911
13.00000000   0.14304762
13.00000000   0.14304762
13.08344489   0.08580132
13.13620072   0.10948290
13.15800000   0.10481727
13.26096789   0.08955583
13.29787234   0.07396872
13.38812785   0.06293578
13.49527665   0.07357496
13.51400000   0.07196063
13.51775012   0.07160382
13.59295318   0.06549749
13.70733988   0.04362490
13.82366808   0.06162692
13.88900000   0.05366917
13.96190476   0.04461950
14.00000000   0.03884986
14.00000000   0.03884986
14.00560224   0.03824304
14.12331407   0.03410652
14.22610383   0.05295936
14.28600000   0.05745050
14.35144395   0.05712761
14.47901235   0.03952224
14.49275362   0.03833132
14.67467467   0.05904936
14.70600000   0.05598575
14.80000000   0.03464165
14.80000000   0.03464165
14.83055134   0.02985027
14.99250375   0.02890783
15.00000000   0.02971863
15.00000000   0.02971863
15.01280082   0.03128609
15.15200000   0.06354063
15.15245478   0.06361403
15.39107612   0.05227017
15.50387597   0.06438588
15.58745348   0.07069244
15.62500000   0.07408876
15.76344086   0.07034651
15.99563557   0.07045995
16.00000000   0.07185218
16.12900000   0.11282124
16.18101545   0.10024373
16.31608236   0.05813299
16.40000000   0.04948722
16.40000000   0.04948722
16.48116920   0.05609317
16.50165017   0.05967573
16.66700000   0.12890663
16.67804323   0.13154574
16.87967761   0.11591319
17.00680272   0.09055446
17.05642816   0.07502711
17.20000000   0.10184897
17.20000000   0.10184897
17.23691946   0.11032112
17.24100000   0.11136506
17.39027284   0.14720881
17.51313485   0.12284843
17.57793765   0.12303432
17.76969697   0.20254004
17.85700000   0.18878802
17.86715417   0.18473463
18.00000000   0.14419316
18.00000000   0.14419316
18.06531115   0.14274151
18.11594203   0.14407952
18.16604709   0.16864128
18.37092732   0.33242885
18.50000000   0.36020821
18.50000000   0.36020821
18.51900000   0.36333868
18.54522454   0.35954525
18.65139949   0.30340755
18.79487179   0.21751949
18.90359168   0.23246469
18.90393295   0.23248535
19.08854167   0.29696096
19.20104781   0.34537397
19.23100000   0.35821989
