lambda            k
2.05634382   0.00021781
2.05676676   0.00021797
2.05718988   0.00021812
2.05761317   0.00021827
2.05803663   0.00021842
2.05846027   0.00021857
2.05888408   0.00021873
2.05930807   0.00021888
2.05973223   0.00021903
2.06015657   0.00021918
2.06058108   0.00021934
2.06100577   0.00021949
2.06143063   0.00021964
2.06185567   0.00021979
2.06228088   0.00021995
2.06270627   0.00022010
2.06313183   0.00022025
2.06355757   0.00022041
2.06398349   0.00022056
2.06440958   0.00022072
2.06483585   0.00022087
2.06526229   0.00022102
2.06568891   0.00022118
2.06611570   0.00022133
2.06654267   0.00022149
2.06696982   0.00022164
2.06739715   0.00022180
2.06782465   0.00022195
2.06825233   0.00022211
2.06868018   0.00022227
2.06910821   0.00022242
2.06953642   0.00022258
2.06996481   0.00022273
2.07039337   0.00022289
2.07082212   0.00022305
2.07125104   0.00022320
2.07168013   0.00022336
2.07210941   0.00022351
2.07253886   0.00022367
2.07296849   0.00022383
2.07339830   0.00022399
2.07382829   0.00022414
2.07425845   0.00022430
2.07468880   0.00022446
2.07511932   0.00022462
2.07555002   0.00022477
2.07598090   0.00022493
2.07641196   0.00022509
2.07684320   0.00022525
2.07727462   0.00022541
2.07770621   0.00022557
2.07813799   0.00022573
2.07856994   0.00022588
2.07900208   0.00022604
2.07943439   0.00022620
2.07986689   0.00022636
2.08029956   0.00022652
2.08073242   0.00022668
2.08116545   0.00022684
2.08159867   0.00022700
2.08203206   0.00022716
2.08246564   0.00022732
2.08289940   0.00022748
2.08333333   0.00022764
2.08376745   0.00022780
2.08420175   0.00022797
2.08463623   0.00022813
2.08507089   0.00022829
2.08550574   0.00022845
2.08594076   0.00022861
2.08637596   0.00022877
2.08681135   0.00022894
2.08724692   0.00022910
2.08768267   0.00022926
2.08811861   0.00022942
2.08855472   0.00022958
2.08899102   0.00022975
2.08942750   0.00022991
2.08986416   0.00023007
2.09030100   0.00023024
2.09073803   0.00023040
2.09117524   0.00023056
2.09161263   0.00023073
2.09205021   0.00023089
2.09248797   0.00023106
2.09292591   0.00023122
2.09336404   0.00023138
2.09380235   0.00023155
2.09424084   0.00023171
2.09467951   0.00023188
2.09511837   0.00023204
2.09555742   0.00023221
2.09599665   0.00023237
2.09643606   0.00023254
2.09687566   0.00023270
2.09731544   0.00023287
2.09775540   0.00023304
2.09819555   0.00023320
2.09863589   0.00023337
2.09907641   0.00023353
2.09951711   0.00023370
2.09995800   0.00023387
2.10039908   0.00023404
2.10084034   0.00023420
2.10128178   0.00023437
2.10172341   0.00023454
2.10216523   0.00023470
2.10260723   0.00023487
2.10304942   0.00023504
2.10349180   0.00023521
2.10393436   0.00023538
2.10437710   0.00023554
2.10482004   0.00023571
2.10526316   0.00023588
2.10570646   0.00023605
2.10614996   0.00023622
2.10659364   0.00023639
2.10703751   0.00023656
2.10748156   0.00023673
2.10792580   0.00023690
2.10837023   0.00023707
2.10881485   0.00023724
2.10925965   0.00023741
2.10970464   0.00023758
2.11014982   0.00023775
2.11059519   0.00023792
2.11104074   0.00023809
2.11148649   0.00023826
2.11193242   0.00023843
2.11237854   0.00023860
2.11282485   0.00023878
2.11327134   0.00023895
2.11371803   0.00023912
2.11416490   0.00023929
2.11461197   0.00023946
2.11505922   0.00023964
2.11550666   0.00023981
2.11595430   0.00023998
2.11640212   0.00024016
2.11685013   0.00024033
2.11729833   0.00024050
2.11774672   0.00024068
2.11819530   0.00024085
2.11864407   0.00024102
2.11909303   0.00024120
2.11954218   0.00024137
2.11999152   0.00024155
2.12044105   0.00024172
2.12089077   0.00024189
2.12134069   0.00024207
2.12179079   0.00024224
2.12224109   0.00024242
2.12269157   0.00024259
2.12314225   0.00024277
2.12359312   0.00024295
2.12404418   0.00024312
2.12449543   0.00024330
2.12494688   0.00024347
2.12539851   0.00024365
2.12585034   0.00024383
2.12630236   0.00024400
2.12675457   0.00024418
2.12720698   0.00024436
2.12765957   0.00024454
2.12811236   0.00024471
2.12856535   0.00024489
2.12901852   0.00024507
2.12947189   0.00024525
2.12992545   0.00024542
2.13037921   0.00024560
2.13083316   0.00024578
2.13128730   0.00024596
2.13174163   0.00024614
2.13219616   0.00024632
2.13265089   0.00024650
2.13310580   0.00024668
2.13356091   0.00024686
2.13401622   0.00024704
2.13447172   0.00024722
2.13492741   0.00024740
2.13538330   0.00024758
2.13583938   0.00024776
2.13629566   0.00024794
2.13675214   0.00024812
2.13720881   0.00024830
2.13766567   0.00024848
2.13812273   0.00024866
2.13857998   0.00024884
2.13903743   0.00024903
2.13949508   0.00024921
2.13995292   0.00024939
2.14041096   0.00024957
2.14086919   0.00024975
2.14132762   0.00024994
2.14178625   0.00025012
2.14224507   0.00025030
2.14270409   0.00025049
