lambda            k
2.09511837   0.00337855
2.09555742   0.00338282
2.09599665   0.00338709
2.09643606   0.00339137
2.09687566   0.00339567
2.09731544   0.00339997
2.09775540   0.00340427
2.09819555   0.00340859
2.09863589   0.00341291
2.09907641   0.00341724
2.09951711   0.00342158
2.09995800   0.00342593
2.10039908   0.00343029
2.10084034   0.00343465
2.10128178   0.00343902
2.10172341   0.00344340
2.10216523   0.00344779
2.10260723   0.00345218
2.10304942   0.00345659
2.10349180   0.00346100
2.10393436   0.00346542
2.10437710   0.00346985
2.10482004   0.00347429
2.10526316   0.00347873
2.10570646   0.00348319
2.10614996   0.00348765
2.10659364   0.00349212
2.10703751   0.00349660
2.10748156   0.00350109
2.10792580   0.00350558
2.10837023   0.00351009
2.10881485   0.00351460
2.10925965   0.00351912
2.10970464   0.00352365
2.11014982   0.00352819
2.11059519   0.00353273
2.11104074   0.00353729
2.11148649   0.00354185
2.11193242   0.00354642
2.11237854   0.00355100
2.11282485   0.00355559
2.11327134   0.00356019
2.11371803   0.00356480
2.11416490   0.00356941
2.11461197   0.00357404
2.11505922   0.00357867
2.11550666   0.00358331
2.11595430   0.00358796
2.11640212   0.00359262
2.11685013   0.00359729
2.11729833   0.00360197
2.11774672   0.00360665
2.11819530   0.00361135
2.11864407   0.00361605
2.11909303   0.00362077
2.11954218   0.00362549
2.11999152   0.00363022
2.12044105   0.00363496
2.12089077   0.00363971
2.12134069   0.00364446
2.12179079   0.00364923
2.12224109   0.00365401
2.12269157   0.00365879
2.12314225   0.00366359
2.12359312   0.00366839
2.12404418   0.00367320
2.12449543   0.00367802
2.12494688   0.00368285
2.12539851   0.00368769
2.12585034   0.00369254
2.12630236   0.00369740
2.12675457   0.00370227
2.12720698   0.00370715
2.12765957   0.00371204
2.12811236   0.00371693
2.12856535   0.00372184
2.12901852   0.00372675
2.12947189   0.00373168
2.12992545   0.00373661
2.13037921   0.00374156
2.13083316   0.00374651
2.13128730   0.00375147
2.13174163   0.00375645
2.13219616   0.00376143
2.13265089   0.00376642
2.13310580   0.00377142
2.13356091   0.00377643
2.13401622   0.00378145
2.13447172   0.00378648
2.13492741   0.00379152
2.13538330   0.00379657
2.13583938   0.00380164
2.13629566   0.00380671
2.13675214   0.00381179
2.13720881   0.00381687
2.13766567   0.00382197
2.13812273   0.00382708
2.13857998   0.00383220
2.13903743   0.00383733
2.13949508   0.00384247
2.13995292   0.00384762
2.14000000   0.00355837
2.14000000   0.00355837
2.14041096   0.00385278
2.14086919   0.00385795
2.14132762   0.00386313
2.14178625   0.00386832
2.14224507   0.00387352
2.14270409   0.00387873
2.14316331   0.00388396
2.14362272   0.00388919
2.14408233   0.00389443
2.14454214   0.00389968
2.14500215   0.00390494
2.14546235   0.00391021
2.14592275   0.00391550
2.14638334   0.00392079
2.14684414   0.00392609
2.14730513   0.00393141
2.14776632   0.00393673
2.14822771   0.00394207
2.14868930   0.00394742
2.14915109   0.00395277
2.14961307   0.00395814
2.15007525   0.00396352
2.15053763   0.00396891
2.15100022   0.00397430
2.15146299   0.00397971
2.15192597   0.00398514
2.15238915   0.00399057
2.15285253   0.00399601
2.15331611   0.00400146
2.15377988   0.00400693
2.15424386   0.00401240
2.15470804   0.00401789
2.15517241   0.00402338
2.15563699   0.00402889
2.15610177   0.00403441
2.15656675   0.00403994
2.15703192   0.00404548
2.15749730   0.00405104
2.15796288   0.00405660
2.15842866   0.00406217
2.15889465   0.00406776
2.15936083   0.00407336
2.15982721   0.00407896
2.16029380   0.00408458
2.16076059   0.00409021
2.16122758   0.00409586
2.16169477   0.00410151
2.16216216   0.00410718
2.16262976   0.00411285
2.16309756   0.00411854
2.16356556   0.00412424
2.16403376   0.00412995
2.16450216   0.00413567
2.16497077   0.00414141
2.16543958   0.00414715
2.16590860   0.00415291
2.16637782   0.00415868
2.16684724   0.00416446
2.16731686   0.00417025
2.16778669   0.00417606
2.16825672   0.00418187
2.16872696   0.00418770
2.16919740   0.00419354
2.16966804   0.00419939
2.17013889   0.00420526
2.17060994   0.00421113
2.17108120   0.00421702
2.17155266   0.00422292
2.17202433   0.00422883
2.17249620   0.00423476
2.17296827   0.00424069
2.17344056   0.00424664
2.17391304   0.00425260
2.17438574   0.00425857
2.17485863   0.00426456
2.17533174   0.00427056
2.17580505   0.00427657
2.17627856   0.00428259
2.17675229   0.00428862
2.17722621   0.00429467
2.17770035   0.00430073
2.17817469   0.00430680
2.17864924   0.00431289
2.17912399   0.00431898
2.17959895   0.00432509
2.18007412   0.00433121
2.18054950   0.00433735
2.18102508   0.00434350
2.18150087   0.00434966
2.18197687   0.00435583
2.18245308   0.00436202
2.18292949   0.00436822
2.18340611   0.00437443
2.18388294   0.00438065
2.18435998   0.00438689
2.18483723   0.00439314
2.18531469   0.00439940
2.18579235   0.00440568
2.18627022   0.00441197
2.18674831   0.00441827
2.18722660   0.00442459
2.18770510   0.00443092
2.18818381   0.00443726
2.18866273   0.00444362
2.18914186   0.00444999
2.18962120   0.00445637
2.19010074   0.00446277
2.19058050   0.00446918
2.19106047   0.00447560
2.19154065   0.00448204
2.19202104   0.00448849
2.19250164   0.00449495
2.19298246   0.00450143
2.19346348   0.00450792
2.19394471   0.00451442
2.19442616   0.00452094
2.19490781   0.00452748
2.19538968   0.00453402
2.19587176   0.00454058
2.19635405   0.00454716
2.19683656   0.00455374
2.19731927   0.00456034
2.19780220   0.00456696
2.19828534   0.00457359
2.19876869   0.00458023
2.19925225   0.00458689
2.19973603   0.00459356
2.20000000   0.00305446
2.20000000   0.00305446
2.20022002   0.00460025
2.20070423   0.00460695
2.20118864   0.00461367
2.20167327   0.00462040
2.20215811   0.00462714
2.20264317   0.00463390
2.20312844   0.00464067
2.20361393   0.00464746
2.20409963   0.00465426
2.20458554   0.00466108
2.20507166   0.00466791
2.20555801   0.00467475
2.20604456   0.00468161
2.20653133   0.00468849
2.20701832   0.00469538
2.20750552   0.00470228
2.20799293   0.00470920
2.20848057   0.00471614
2.20896841   0.00472309
2.20945647   0.00473005
2.20994475   0.00473703
2.21043324   0.00474402
2.21092195   0.00475103
2.21141088   0.00475806
2.21190002   0.00476510
2.21238938   0.00477215
2.21287896   0.00477922
2.21336875   0.00478631
2.21385876   0.00479341
2.21434898   0.00480053
2.21483942   0.00480766
2.21533008   0.00481481
2.21582096   0.00482197
2.21631206   0.00482915
2.21680337   0.00483635
2.21729490   0.00484356
2.21778665   0.00485078
2.21827862   0.00485802
2.21877080   0.00486528
2.21926320   0.00487256
2.21975583   0.00487984
2.22024867   0.00488715
2.22074173   0.00489447
2.22123501   0.00490181
2.22172850   0.00490916
2.22222222   0.00491653
2.22271616   0.00492392
2.22321032   0.00493132
2.22370469   0.00493874
2.22419929   0.00494618
2.22469410   0.00495363
2.22518914   0.00496110
2.22568440   0.00496858
2.22617988   0.00497608
2.22667557   0.00498360
2.22717149   0.00499113
2.22766763   0.00499868
2.22816399   0.00500625
2.22866057   0.00501384
2.22915738   0.00502144
2.22965440   0.00502906
2.23015165   0.00503669
2.23064912   0.00504434
2.23114681   0.00505201
2.23164472   0.00505970
2.23214286   0.00506740
2.23264121   0.00507512
2.23313979   0.00508286
2.23363860   0.00509062
2.23413762   0.00509839
2.23463687   0.00510618
2.23513634   0.00511399
2.23563604   0.00512181
2.23613596   0.00512965
2.23663610   0.00513751
2.23713647   0.00514539
2.23763706   0.00515329
2.23813787   0.00516120
2.23863891   0.00516913
2.23914017   0.00517708
