lambda            k
3.40947835   0.01636143
3.40947835   0.01636143
3.40947835   0.01636143
3.40947835   0.01636143
3.40947835   0.01636143
3.40947835   0.01636143
3.40947835   0.01636143
3.41005968   0.00265682
3.41005968   0.00265682
3.41005968   0.00265682
3.41005968   0.00265682
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41064120   0.01626943
3.41122292   0.00265632
3.41122292   0.00265632
3.41122292   0.00265632
3.41122292   0.00265632
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41180484   0.01617813
3.41238696   0.00265583
3.41238696   0.00265583
3.41238696   0.00265583
3.41238696   0.00265583
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41296928   0.01608752
3.41355180   0.00265537
3.41355180   0.00265537
3.41355180   0.00265537
3.41355180   0.00265537
3.41413452   0.02934004
3.41413452   0.02934004
3.41413452   0.02934004
3.41413452   0.02934004
3.41413452   0.00265514
3.41413452   0.00265514
3.41413452   0.00265514
3.41413452   0.00265514
3.41471743   0.00265493
3.41471743   0.00265493
3.41471743   0.00265493
3.41471743   0.00265493
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41530055   0.01590835
3.41588386   0.00265451
3.41588386   0.00265451
3.41588386   0.00265451
3.41588386   0.00265451
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41646737   0.01581978
3.41705108   0.00265411
3.41705108   0.00265411
3.41705108   0.00265411
3.41705108   0.00265411
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41763500   0.01573189
3.41821911   0.00265373
3.41821911   0.00265373
3.41821911   0.00265373
3.41821911   0.00265373
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41880342   0.01564467
3.41938793   0.00265338
3.41938793   0.00265338
3.41938793   0.00265338
3.41938793   0.00265338
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.41997264   0.01555810
3.42055755   0.00265304
3.42055755   0.00265304
3.42055755   0.00265304
3.42055755   0.00265304
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42114266   0.01547220
3.42172797   0.00265273
3.42172797   0.00265273
3.42172797   0.00265273
3.42172797   0.00265273
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42231348   0.01538695
3.42289920   0.00265243
3.42289920   0.00265243
3.42289920   0.00265243
3.42289920   0.00265243
3.42348511   0.00265229
3.42348511   0.00265229
3.42348511   0.00265229
3.42348511   0.00265229
3.42348511   0.02795240
3.42348511   0.02795240
3.42348511   0.02795240
3.42348511   0.02795240
3.42407122   0.00265216
3.42407122   0.00265216
3.42407122   0.00265216
3.42407122   0.00265216
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42465753   0.01521839
3.42524405   0.00265191
3.42524405   0.00265191
3.42524405   0.00265191
3.42524405   0.00265191
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42583076   0.01513507
3.42641768   0.00265168
3.42641768   0.00265168
3.42641768   0.00265168
3.42641768   0.00265168
3.42700480   0.02745320
3.42700480   0.02745320
3.42700480   0.02745320
3.42700480   0.02745320
3.42700480   0.00265157
3.42700480   0.00265157
3.42700480   0.00265157
3.42700480   0.00265157
3.42759212   0.00265146
3.42759212   0.00265146
3.42759212   0.00265146
3.42759212   0.00265146
3.42817964   0.02728929
3.42817964   0.02728929
3.42817964   0.02728929
3.42817964   0.02728929
3.42817964   0.00265137
3.42817964   0.00265137
3.42817964   0.00265137
3.42817964   0.00265137
3.42876736   0.00265127
3.42876736   0.00265127
3.42876736   0.00265127
3.42876736   0.00265127
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42935528   0.01488890
3.42994341   0.00265110
3.42994341   0.00265110
3.42994341   0.00265110
3.42994341   0.00265110
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43053173   0.01480808
3.43112026   0.00265095
3.43112026   0.00265095
3.43112026   0.00265095
3.43112026   0.00265095
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43170899   0.01472789
3.43229792   0.00265082
3.43229792   0.00265082
3.43229792   0.00265082
3.43229792   0.00265082
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43288706   0.01464830
3.43347639   0.00265071
3.43347639   0.00265071
3.43347639   0.00265071
3.43347639   0.00265071
3.43406593   0.02648799
3.43406593   0.02648799
3.43406593   0.02648799
3.43406593   0.02648799
3.43406593   0.00265066
3.43406593   0.00265066
3.43406593   0.00265066
3.43406593   0.00265066
3.43465568   0.00265062
3.43465568   0.00265062
3.43465568   0.00265062
3.43465568   0.00265062
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43524562   0.01449095
3.43583577   0.00265055
3.43583577   0.00265055
3.43583577   0.00265055
3.43583577   0.00265055
3.43642612   0.02617582
3.43642612   0.02617582
3.43642612   0.02617582
3.43642612   0.02617582
3.43642612   0.00265052
3.43642612   0.00265052
3.43642612   0.00265052
3.43642612   0.00265052
3.43701667   0.00265050
3.43701667   0.00265050
3.43701667   0.00265050
3.43701667   0.00265050
3.43760743   0.02602149
3.43760743   0.02602149
3.43760743   0.02602149
3.43760743   0.02602149
3.43760743   0.00265048
3.43760743   0.00265048
3.43760743   0.00265048
3.43760743   0.00265048
3.43819838   0.00265046
3.43819838   0.00265046
3.43819838   0.00265046
3.43819838   0.00265046
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43878955   0.01425938
3.43938091   0.00265045
3.43938091   0.00265045
3.43938091   0.00265045
3.43938091   0.00265045
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.43997248   0.01418337
3.44056425   0.00265046
3.44056425   0.00265046
3.44056425   0.00265046
3.44056425   0.00265046
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44115623   0.01410793
3.44174841   0.00265049
3.44174841   0.00265049
3.44174841   0.00265049
3.44174841   0.00265049
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44234079   0.01403307
3.44293338   0.00265053
3.44293338   0.00265053
3.44293338   0.00265053
3.44293338   0.00265053
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44352617   0.01395877
3.44411917   0.00265060
3.44411917   0.00265060
3.44411917   0.00265060
3.44411917   0.00265060
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44471237   0.01388505
3.44530577   0.00265068
3.44530577   0.00265068
3.44530577   0.00265068
3.44530577   0.00265068
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44589938   0.01381188
3.44649319   0.00265078
3.44649319   0.00265078
3.44649319   0.00265078
3.44649319   0.00265078
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44708721   0.01373927
3.44768143   0.00265091
3.44768143   0.00265091
3.44768143   0.00265091
3.44768143   0.00265091
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44827586   0.01366721
3.44887049   0.00265105
3.44887049   0.00265105
3.44887049   0.00265105
3.44887049   0.00265105
3.44946533   0.00265112
3.44946533   0.00265112
3.44946533   0.00265112
3.44946533   0.00265112
3.44946533   0.02454028
3.44946533   0.02454028
3.44946533   0.02454028
3.44946533   0.02454028
3.45000000   0.15000000
3.45000000   0.15000000
3.45006038   0.00265121
3.45006038   0.00265121
3.45006038   0.00265121
3.45006038   0.00265121
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45065562   0.01352473
3.45125108   0.00265138
3.45125108   0.00265138
3.45125108   0.00265138
3.45125108   0.00265138
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45184674   0.01345431
3.45244260   0.00265158
3.45244260   0.00265158
3.45244260   0.00265158
3.45244260   0.00265158
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45303867   0.01338441
3.45363495   0.00265180
3.45363495   0.00265180
3.45363495   0.00265180
3.45363495   0.00265180
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45423143   0.01331505
3.45482812   0.00265203
3.45482812   0.00265203
3.45482812   0.00265203
3.45482812   0.00265203
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45542502   0.01324622
3.45602212   0.00265228
3.45602212   0.00265228
3.45602212   0.00265228
3.45602212   0.00265228
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45661943   0.01317790
3.45721694   0.00265255
3.45721694   0.00265255
3.45721694   0.00265255
3.45721694   0.00265255
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45781466   0.01311011
3.45841259   0.00265284
3.45841259   0.00265284
3.45841259   0.00265284
3.45841259   0.00265284
3.45901072   0.02343267
3.45901072   0.02343267
3.45901072   0.02343267
3.45901072   0.02343267
3.45901072   0.00265299
3.45901072   0.00265299
3.45901072   0.00265299
3.45901072   0.00265299
3.45960906   0.00265315
3.45960906   0.00265315
3.45960906   0.00265315
3.45960906   0.00265315
3.46020761   0.00265331
3.46020761   0.00265331
3.46020761   0.00265331
3.46020761   0.00265331
3.46020761   0.02329881
3.46020761   0.02329881
3.46020761   0.02329881
3.46020761   0.02329881
3.46080637   0.00265347
3.46080637   0.00265347
3.46080637   0.00265347
3.46080637   0.00265347
3.46140533   0.02316594
3.46140533   0.02316594
3.46140533   0.02316594
3.46140533   0.02316594
3.46140533   0.00265364
3.46140533   0.00265364
3.46140533   0.00265364
3.46140533   0.00265364
3.46200450   0.00265382
3.46200450   0.00265382
3.46200450   0.00265382
3.46200450   0.00265382
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46260388   0.01284403
3.46320346   0.00265418
3.46320346   0.00265418
3.46320346   0.00265418
3.46320346   0.00265418
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46380326   0.01277876
3.46440326   0.00265456
3.46440326   0.00265456
3.46440326   0.00265456
3.46440326   0.00265456
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46500347   0.01271399
3.46560388   0.00265495
3.46560388   0.00265495
3.46560388   0.00265495
3.46560388   0.00265495
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46620451   0.01264971
3.46680534   0.00265537
3.46680534   0.00265537
3.46680534   0.00265537
3.46680534   0.00265537
3.46740638   0.02251624
3.46740638   0.02251624
3.46740638   0.02251624
3.46740638   0.02251624
3.46740638   0.00265558
3.46740638   0.00265558
3.46740638   0.00265558
3.46740638   0.00265558
3.46800763   0.00265580
3.46800763   0.00265580
3.46800763   0.00265580
3.46800763   0.00265580
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46860909   0.01252260
3.46921075   0.00265625
3.46921075   0.00265625
3.46921075   0.00265625
3.46921075   0.00265625
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.46981263   0.01245976
3.47041471   0.00265672
3.47041471   0.00265672
3.47041471   0.00265672
3.47041471   0.00265672
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47101701   0.01239740
3.47161951   0.00265720
3.47161951   0.00265720
3.47161951   0.00265720
3.47161951   0.00265720
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47222222   0.01233551
3.47282514   0.00265771
3.47282514   0.00265771
3.47282514   0.00265771
3.47282514   0.00265771
3.47342827   0.00265796
3.47342827   0.00265796
3.47342827   0.00265796
3.47342827   0.00265796
3.47342827   0.02189019
3.47342827   0.02189019
3.47342827   0.02189019
3.47342827   0.02189019
3.47403161   0.00265823
3.47403161   0.00265823
3.47403161   0.00265823
3.47403161   0.00265823
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47463516   0.01221312
3.47523892   0.00265876
3.47523892   0.00265876
3.47523892   0.00265876
3.47523892   0.00265876
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47584289   0.01215261
3.47644707   0.00265932
3.47644707   0.00265932
3.47644707   0.00265932
3.47644707   0.00265932
3.47645429   0.02285652
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47705146   0.01209256
3.47765606   0.00265989
3.47765606   0.00265989
3.47765606   0.00265989
3.47765606   0.00265989
3.47826087   0.02140574
3.47826087   0.02140574
3.47826087   0.02140574
3.47826087   0.02140574
3.47826087   0.00266018
3.47826087   0.00266018
3.47826087   0.00266018
3.47826087   0.00266018
3.47886589   0.00266048
3.47886589   0.00266048
3.47886589   0.00266048
3.47886589   0.00266048
3.47947112   0.02128684
3.47947112   0.02128684
3.47947112   0.02128684
3.47947112   0.02128684
3.47947112   0.00266078
3.47947112   0.00266078
3.47947112   0.00266078
3.47947112   0.00266078
3.48007656   0.00266108
3.48007656   0.00266108
3.48007656   0.00266108
3.48007656   0.00266108
3.48068221   0.02116881
3.48068221   0.02116881
3.48068221   0.02116881
3.48068221   0.02116881
3.48068221   0.00266139
3.48068221   0.00266139
3.48068221   0.00266139
3.48068221   0.00266139
3.48128808   0.00266171
3.48128808   0.00266171
3.48128808   0.00266171
3.48128808   0.00266171
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48189415   0.01185684
3.48250044   0.00266235
3.48250044   0.00266235
3.48250044   0.00266235
3.48250044   0.00266235
3.48310693   0.02093534
3.48310693   0.02093534
3.48310693   0.02093534
3.48310693   0.02093534
3.48310693   0.00266267
3.48310693   0.00266267
3.48310693   0.00266267
3.48310693   0.00266267
3.48371364   0.00266300
3.48371364   0.00266300
3.48371364   0.00266300
3.48371364   0.00266300
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48432056   0.01174161
3.48492769   0.00266368
3.48492769   0.00266368
3.48492769   0.00266368
3.48492769   0.00266368
3.48553503   0.02070526
3.48553503   0.02070526
3.48553503   0.02070526
3.48553503   0.02070526
3.48553503   0.00266402
3.48553503   0.00266402
3.48553503   0.00266402
3.48553503   0.00266402
3.48614258   0.00266437
3.48614258   0.00266437
3.48614258   0.00266437
3.48614258   0.00266437
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48675035   0.01162810
3.48735833   0.00266508
3.48735833   0.00266508
3.48735833   0.00266508
3.48735833   0.00266508
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48796652   0.01157198
3.48857492   0.00266580
3.48857492   0.00266580
3.48857492   0.00266580
3.48857492   0.00266580
3.48918353   0.00266617
3.48918353   0.00266617
3.48918353   0.00266617
3.48918353   0.00266617
3.48918353   0.02036640
3.48918353   0.02036640
3.48918353   0.02036640
3.48918353   0.02036640
3.48979236   0.00266654
3.48979236   0.00266654
3.48979236   0.00266654
3.48979236   0.00266654
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49040140   0.01146100
3.49101065   0.00266730
3.49101065   0.00266730
3.49101065   0.00266730
3.49101065   0.00266730
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49162011   0.01140613
3.49222979   0.00266807
3.49222979   0.00266807
3.49222979   0.00266807
3.49222979   0.00266807
3.49283968   0.00266846
3.49283968   0.00266846
3.49283968   0.00266846
3.49283968   0.00266846
3.49283968   0.02003487
3.49283968   0.02003487
3.49283968   0.02003487
3.49283968   0.02003487
3.49344978   0.00266886
3.49344978   0.00266886
3.49344978   0.00266886
3.49344978   0.00266886
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49406010   0.01129761
3.49467063   0.00266967
3.49467063   0.00266967
3.49467063   0.00266967
3.49467063   0.00266967
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49528137   0.01124396
3.49589233   0.00267049
3.49589233   0.00267049
3.49589233   0.00267049
3.49589233   0.00267049
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49650350   0.01119070
3.49711488   0.00267133
3.49711488   0.00267133
3.49711488   0.00267133
3.49711488   0.00267133
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49772648   0.01113784
3.49833829   0.00267219
3.49833829   0.00267219
3.49833829   0.00267219
3.49833829   0.00267219
3.49895031   0.00267262
3.49895031   0.00267262
3.49895031   0.00267262
3.49895031   0.00267262
3.49895031   0.01949813
3.49895031   0.01949813
3.49895031   0.01949813
3.49895031   0.01949813
3.49956255   0.00267306
3.49956255   0.00267306
3.49956255   0.00267306
3.49956255   0.00267306
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50017501   0.01103330
3.50078768   0.00267395
3.50078768   0.00267395
3.50078768   0.00267395
3.50078768   0.00267395
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50140056   0.01098160
3.50201366   0.00267485
3.50201366   0.00267485
3.50201366   0.00267485
3.50201366   0.00267485
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50262697   0.01093029
3.50324050   0.00267577
3.50324050   0.00267577
3.50324050   0.00267577
3.50324050   0.00267577
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50385424   0.01087937
3.50446820   0.00267671
3.50446820   0.00267671
3.50446820   0.00267671
3.50446820   0.00267671
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50508237   0.01082881
3.50569676   0.00267766
3.50569676   0.00267766
3.50569676   0.00267766
3.50569676   0.00267766
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50631136   0.01077863
3.50692618   0.00267863
3.50692618   0.00267863
3.50692618   0.00267863
3.50692618   0.00267863
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50754121   0.01072882
3.50815646   0.00267961
3.50815646   0.00267961
3.50815646   0.00267961
3.50815646   0.00267961
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50877193   0.01067938
3.50938761   0.00268061
3.50938761   0.00268061
3.50938761   0.00268061
3.50938761   0.00268061
3.51000000   0.14000000
3.51000000   0.14000000
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51000351   0.01063030
3.51061962   0.00268163
3.51061962   0.00268163
3.51061962   0.00268163
3.51061962   0.00268163
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51123596   0.01058159
3.51185250   0.00268266
3.51185250   0.00268266
3.51185250   0.00268266
3.51185250   0.00268266
3.51246927   0.00268318
3.51246927   0.00268318
3.51246927   0.00268318
3.51246927   0.00268318
3.51246927   0.01838328
3.51246927   0.01838328
3.51246927   0.01838328
3.51246927   0.01838328
3.51308625   0.00268371
3.51308625   0.00268371
3.51308625   0.00268371
3.51308625   0.00268371
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51370344   0.01048523
3.51432086   0.00268477
3.51432086   0.00268477
3.51432086   0.00268477
3.51432086   0.00268477
3.51493849   0.01818985
3.51493849   0.01818985
3.51493849   0.01818985
3.51493849   0.01818985
3.51493849   0.00268531
3.51493849   0.00268531
3.51493849   0.00268531
3.51493849   0.00268531
3.51555634   0.00268585
3.51555634   0.00268585
3.51555634   0.00268585
3.51555634   0.00268585
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51617440   0.01039028
3.51679269   0.00268695
3.51679269   0.00268695
3.51679269   0.00268695
3.51679269   0.00268695
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51741119   0.01034333
3.51802990   0.00268806
3.51802990   0.00268806
3.51802990   0.00268806
3.51802990   0.00268806
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51864884   0.01029672
3.51926799   0.00268918
3.51926799   0.00268918
3.51926799   0.00268918
3.51926799   0.00268918
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.51988736   0.01025045
3.52050695   0.00269032
3.52050695   0.00269032
3.52050695   0.00269032
3.52050695   0.00269032
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52112676   0.01020452
3.52174679   0.00269148
3.52174679   0.00269148
3.52174679   0.00269148
3.52174679   0.00269148
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52236703   0.01015893
3.52298749   0.00269265
3.52298749   0.00269265
3.52298749   0.00269265
3.52298749   0.00269265
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52360817   0.01011366
3.52422907   0.00269384
3.52422907   0.00269384
3.52422907   0.00269384
3.52422907   0.00269384
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52485019   0.01006873
3.52547153   0.00269504
3.52547153   0.00269504
